state,minimum_wage
Alabama,7.25
Alaska,11.91
Arizona,14.7
Arkansas,11.0
California,16.5
Colorado,14.81
Connecticut,16.35
Delaware,15.0
Florida,13.0
Georgia,7.25
Hawaii,14.0
Idaho,7.25
Illinois,15.0
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,7.25
Maine,14.65
Maryland,15.0
Massachusetts,15.0
Michigan,10.56
Minnesota,11.13
Mississippi,7.25
Missouri,13.75
Montana,10.55
Nebraska,13.5
Nevada,12.0
New Hampshire,7.25
New Jersey,15.49
New Mexico,12.0
New York,15.5
North Carolina,7.25
North Dakota,7.25
Ohio,10.7
Oklahoma,7.25
Oregon,14.7
Pennsylvania,7.25
Rhode Island,15.0
South Carolina,7.25
South Dakota,11.5
Tennessee,7.25
Texas,7.25
Utah,7.25
Vermont,14.01
Virginia,12.41
Washington,16.66
West Virginia,8.75
Wisconsin,7.25
Wyoming,7.25
